"","beta0"
"hsa.miR.3140.3p.1",0.4
"hsa.miR.934.1",-0.5
"hsa.miR.200b..1",0.7
"hsa.miR.1293.3p.1",-0.8
"hsa.miR.1258.3p.1",0.6
"hsa.miR.370.1",-0.1
"hsa.miR.138.2..3",0.1
"hsa.miR.124.3..1",-0.3
"hsa.miR.659..1",0.6
"hsa.miR.135b..1",-0.6
"hsa.miR.519c.1",0.6
"hsa.miR.520h.1",-0.5
"hsa.miR.890.3p.1",0.5
"hsa.miR.876.5p.1",-0.3
"hsa.miR.190b..1",0.9
"hsa.miR.3919.5p.1",-0.8
"hsa.miR.7.2..1",0.4
"hsa.miR.892a.1",-0.7
"hsa.miR.1185.1.3p.1",0.1
"hsa.miR.676..1",-0.5
"hsa.miR.495..1",0.3
"hsa.miR.599.1",-0.2
"hsa.miR.520b.3p.1",0.5
"hsa.miR.182..1",-0.8
"hsa.miR.498.5p.1",0.7
"hsa.miR.466..1",-0.8
"hsa.miR.1185.2.3p.1",0.1
"hsa.miR.205.1",-0.6
"hsa.miR.3940.1",0.6
"hsa.miR.509.5p.2..1",-0.7
